ID,REF,MARQUE,NOM,VERSION,CLASSE,KV,POIDS,H STATOR,D STATOR,H MOTEUR,D MOTEUR,D SHAFT,L SHAFT,TYPE SHAFT,VIS HEL,VIS FIX,ENTRAXE FIX,LIPO,VOLTAGE,L CABLE,TYPE CABLE,HELICE,PUISSANCE,AMP,AIMANT,CLOCHE,CONFIG,LIEN,IMG
31,IFLI-2205-2300,iFlight,XING2 2205 Unibell,XING2,2205,2300,23.7,5,22,29.5,28.6,5,13.5,,M5,M2,12x12,6S,22.2V,160mm,22AWG,,451.33,17.91,N52H,Unibell,12N14P,https://www.racedayquads.com/products/iflight-xing2-2205-motor-2300kv-unibell,https://www.racedayquads.com/cdn/shop/files/iflight-xing2-2205-motor-2300kv-unibell-motor-1189609768.jpg?v=1756311151&width=1200
32,RCIN-2207-1980,RCinPower,AOS Supernova 2207 (Chris Rosser),Supernova,2207,1980,31,7,22,19.5,27.6,4,,Creux,,,,5S-6S,18.5-22.2V,,,,1456,61,,,12N14P,https://www.racedayquads.com/products/rcinpower-aos-supernova-2207-1980kv-motor-chris-rosser,https://www.racedayquads.com/cdn/shop/files/rcinpower-rcinpower-aos-supernova-2207-1980kv-motor-chris-rosser-motor-30951712227441.jpg?v=1762456501&width=1200
33,BETA-1805-1550,BetaFPV,1805 Brushless Motor,,1805,1550,16.1,5,18,19.7,23.2,1.5,3.8,Lisse,Vis M2,M2,12x12,6S,22.2V,100mm,24AWG,"5"" (5125 / 5025)",,,,,,https://pyrodrone.com/products/betafpv-1805-brushless-motors-1550kv-1pc,https://pyrodrone.com/cdn/shop/products/8b465053d72bf33c227fa9eedfc2486b_720x_183031e6-4aba-4128-8cc7-d8592f880b87_700x700.png?v=1592608929
34,RCIN-1804-3450,RCinPower,GTS V3 1804,GTS V3,1804,3450,12,4,18,13.2,22.74,1.5,,,,,,3S-4S,11.1-14.8V,,,,385,24,,,12N14P,https://pyrodrone.com/products/rcinpower-gts-v3-1804-3450kv-brushless-fpv-drone-motor-teal-blue-pink,https://pyrodrone.com/cdn/shop/products/PhotoRoom-20230228_110546_700x700.png?v=1677612701
35,RCIN-2207-1600,RCinPower,GTS V4 2207 8S,GTS V4,2207,1600,29.9,7,22,30.3,27.3,4,,Creux,,,,8S,29.6V,,,,,,,,12N14P,https://pyrodrone.com/products/rcinpower-gts-v4-2207-1600kv-8s-brushless-fpv-drone-motor-black-gold,https://pyrodrone.com/cdn/shop/files/PhotoRoom-20230228_111446_1200x1200_f50cdfd3-7289-49b0-b864-1132238281c0_700x700.webp?v=1700259020
36,RCIN-1404-2850,RCinPower,GTS V3 1404.6,GTS V3,1404,2850,9,4.6,14,13.1,18.2,1.5,,,,M2,9x9,,,,,"4"" (longue portée)",,,N52H,,9N12P,https://pyrodrone.com/products/rcinpower-gts-v3-1404-6-2850kv-fpv-drone-motor-choose-color,https://pyrodrone.com/cdn/shop/files/2_9b128c83-83ac-4d2e-8928-d42d6e9f58f1_700x700.jpg?v=1735590835
37,RCIN-1404-4680,RCinPower,GTS V3 1404.6,GTS V3,1404,4680,9,4.6,14,13.1,18.2,1.5,,,,M2,9x9,,,,,"4"" (longue portée)",,,N52H,,9N12P,https://pyrodrone.com/products/rcinpower-gts-v3-1404-6-4680kv-fpv-drone-motor-choose-color,https://pyrodrone.com/cdn/shop/files/2_4a63c271-3118-4ee1-8149-e76e66ca52fb_700x700.jpg?v=1735590795
38,RCIN-1404-4000,RCinPower,AOS Supernova 1404,Supernova,1404,4000,10.2,4.5,14,13.2,18.75,1.5,,,,,,3S-4S,11.1-14.8V,,,,335,20.9,,,9N12P,https://pyrodrone.com/products/rcinpower-aos-supernova-1404-4000kv-brushless-fpv-drone-motor,https://pyrodrone.com/cdn/shop/files/aos-supernova-1404-4000kv-brushless-motor-by-rcinpower_1_700x700.jpg?v=1762297075
39,RCIN-1507-2680,RCinPower,Smoox Plus 1507,Smoox Plus,1507,2680,16.8,7,15,28.2,20.7,5,,,M5,,,4S-6S,14.8-22.2V,,,,420,19,,,9N12P,https://pyrodrone.com/products/rcinpower-smoox-plus-1507-2680kv-fpv-drone-motor-gun-metal,https://pyrodrone.com/cdn/shop/products/4PCS-RCINPOWER-SmooX-1507-Plus-2680KV-3800KV-4200KV-3-6S-FPV-Brushless-Motor-for-FPV-Racing_jpg_Q90_jpg_3ba8514f-dac1-4790-869d-964e93066938_700x700.jpg?v=1652468797
40,FLYF-1404-4500,FlyFishRC,Flash 1404,Flash,1404,4500,8.7,4,14,15.5,19.3,1.5,,,,,9x9,3S-4S,11.1-14.8V,120mm,24AWG,,,,,,9N12P,https://pyrodrone.com/products/flyfishrc-flash-1404-4500kv-motor,https://pyrodrone.com/cdn/shop/products/Flash-1404-motor-5_700x700.webp?v=1667508240
